title,reference,term_id,date,id,created_at,updated_at
Control of the acquisition and possession of weapons (codification) ***I,A9-0010/2021,1,2021-02-08,23,2021-08-07 08:41:39,2021-08-07 08:41:39
Establishing the Recovery and Resilience Facility ***I,A9-0214/2020,1,2021-02-08,24,2021-08-07 08:41:39,2021-08-07 08:41:39
European Central Bank – annual report 2020,A9-0002/2021,1,2021-02-08,25,2021-08-07 08:41:39,2021-08-07 08:41:39
New Circular Economy Action Plan,A9-0008/2021,1,2021-02-08,26,2021-08-07 08:41:40,2021-08-07 08:41:40
Implementation of the Anti-Trafficking Directive,A9-0011/2021,1,2021-02-08,27,2021-08-07 08:41:40,2021-08-07 08:41:40
Implementation of Article 43 of the Asylum Procedures Directive,A9-0005/2021,1,2021-02-08,28,2021-08-07 08:41:40,2021-08-07 08:41:40
Public access to documents for the years 2016-2018,A9-0004/2021,1,2021-02-08,29,2021-08-07 08:41:40,2021-08-07 08:41:40
Reducing inequalities with a special focus on in-work poverty,A9-0006/2021,1,2021-02-08,30,2021-08-07 08:41:40,2021-08-07 08:41:40
The impact of Covid-19 on youth and on sport,B9-0115/2021,1,2021-02-08,31,2021-08-07 08:41:41,2021-08-07 08:41:41
Markets in financial instruments ***I,A9-0208/2020,1,2021-02-08,32,2021-08-07 08:41:41,2021-08-07 08:41:41
EU Recovery prospectus and targeted adjustments for financial intermediaries to help the recovery from the COVID-19 pandemic ***I,A9-0228/2020,1,2021-02-08,33,2021-08-07 08:41:41,2021-08-07 08:41:41
Slot utilisation rules at Union airports: temporary relief ***I,C9-0420/2020,1,2021-02-08,34,2021-08-07 08:41:41,2021-08-07 08:41:41
Temporary measures concerning the validity of certificates and licences (Omnibus II) ***I,C9-0004/2021,1,2021-02-08,35,2021-08-07 08:41:41,2021-08-07 08:41:41
EU Association Agreement with Ukraine,A9-0219/2020,1,2021-02-08,36,2021-08-07 08:41:41,2021-08-07 08:41:41
"European Skills Agenda for sustainable competitiveness, social fairness and resilience",B9-0108/2021,1,2021-02-08,37,2021-08-07 08:41:41,2021-08-07 08:41:41
Safety of the nuclear power plant in Ostrovets (Belarus),B9-0109/2021,1,2021-02-08,38,2021-08-07 08:41:41,2021-08-07 08:41:41
Humanitarian and political situation in Yemen,B9-0118/2021,1,2021-02-08,39,2021-08-07 08:41:41,2021-08-07 08:41:41
The situation in Myanmar,B9-0116/2021,1,2021-02-08,40,2021-08-07 08:41:42,2021-08-07 08:41:42
"Rwanda, the case of Paul Rusesabagina",B9-0130/2021,1,2021-02-08,41,2021-08-07 08:41:42,2021-08-07 08:41:42
Human rights situation in Kazakhstan,B9-0143/2021,1,2021-02-08,42,2021-08-07 08:41:42,2021-08-07 08:41:42
